idx,time_delta
0,27.226767
1,31.312645
2,7.0904465
3,3.4644918
4,26.738047
5,21.774532
6,18.83934
7,13.253525
8,4.7146807
9,38.33915
10,8.257696
11,7.4393992
12,4.7146807
13,10.908696
14,9.577372
15,10.188519
16,1.0
17,2.6953588
18,16.71782
19,11.100449
20,4.8979225
21,5.2602015
22,17.187563
23,5.993617
24,24.423239
25,6.8018227
26,10.659222
27,27.834673
28,10.5222645
29,5.3796787
30,16.315916
31,10.559655
32,7.855674
33,28.766258
34,13.828571
35,8.5817
36,25.621647
37,4.3744173
38,24.994963
39,4.8905168
40,14.83439
41,21.37312
42,11.562456
43,5.4798584
44,9.932371
45,16.113909
46,3.0981684
47,14.270441
48,25.440308
49,4.9892235
50,7.4055414
51,21.83139
52,19.984383
53,16.06673
54,3.7018151
55,16.066492
56,3.9458368
57,4.676446
58,24.075754
59,11.68797
60,8.921055
61,17.970379
62,5.7665524
63,16.189064
64,15.259253
65,13.697519
66,16.08878
67,1.0
68,6.906631
69,4.3315845
70,7.1348295
71,29.059427
72,8.309586
73,19.741413
74,15.99439
75,12.655742
76,15.517215
77,9.407575
78,19.725468
79,18.808678
80,17.882065
81,16.602423
82,17.878746
83,17.42191
84,4.960298
85,18.330341
86,10.6517
87,6.299504
88,1.4929075
89,1.0
90,9.108175
91,11.943115
92,12.01762
93,5.85874
94,20.87126
95,5.4931993
96,12.334402
97,27.497435
98,8.281872
99,13.331912
100,5.587775
101,6.213417
102,8.984918
103,2.909678
104,11.672132
105,8.888027
106,6.223324
107,4.9997377
108,18.935694
109,40.513916
110,18.068697
111,13.795122
112,29.64072
113,13.290846
114,24.039864
115,13.805504
116,20.276615
117,25.347813
118,24.434948
119,1.0
120,8.158596
121,18.42969
122,8.93655
123,5.369498
124,29.218533
125,10.691812
126,15.282852
127,13.391632
128,12.232637
129,7.4086637
130,7.5919476
131,29.30077
132,9.640701
133,4.95322
134,8.625061
135,10.864027
136,9.300034
137,1.3631458
138,10.557421
139,13.1586075
140,18.73787
141,18.654896
142,6.181124
143,11.723734
144,11.506491
145,11.836287
146,11.652582
147,19.079514
148,29.704458
149,4.8055882
150,41.089294
151,6.0723524
152,23.555496
153,6.3708897
154,1.0
155,35.55249
156,9.933923
157,11.808869
158,17.082602
159,10.048112
160,6.748035
161,8.304049
162,13.216652
163,24.291458
164,14.263731
165,1.0
166,17.749481
167,6.0723524
168,1.0
169,11.021303
170,7.7683387
171,11.816606
172,6.273781
173,16.815823
174,14.551511
175,31.704123
176,18.72712
177,15.871104
178,11.732206
179,9.694551
180,4.8055882
181,20.729881
182,11.187397
183,4.9149995
184,5.578393
185,18.040703
186,3.9170117
187,20.417261
188,19.449308
189,19.404043
190,12.586542
191,32.00772
192,21.06209
193,10.8860445
194,36.82897
195,25.456116
196,1.0
197,9.450847
198,11.435987
199,31.081078
200,3.0630102
201,11.358707
202,2.587444
203,16.87917
204,1.7454183
205,15.592827
206,8.231259
207,7.4739485
208,20.824188
209,16.7006
210,1.0
211,15.937522
212,13.211739
213,24.019945
214,33.10221
215,13.344706
216,21.75094
217,7.208691
218,13.389406
219,4.7888756
220,38.325493
221,1.0067085
222,3.8872151
223,5.646681
224,24.635685
225,9.283016
226,18.037687
227,22.715832
228,18.34642
229,3.338256
230,15.400558
231,7.126088
232,31.536701
233,15.855352
234,4.44442
235,6.6838293
236,22.461498
237,19.112633
238,10.814586
239,1.3594546
240,26.727568
241,20.725685
242,10.920155
243,4.1160526
244,7.549077
245,5.0859346
246,13.351742
247,17.633867
248,5.6758666
249,13.635656
250,11.047076
251,4.0240927
252,10.9879055
253,19.550327
254,4.7038183
255,6.337902
256,28.998459
257,18.11839
258,7.8767357
259,6.898909
260,6.485049
261,11.857629
262,15.636473
263,14.397309
264,17.23207
265,7.7970185
266,14.425169
267,5.3166714
268,13.981092
269,25.009539
270,14.011938
271,21.97179
272,24.159742
273,1.0
274,19.123833
275,21.856775
276,5.826379
277,6.9018316
278,30.096497
279,5.270894
280,4.535553
281,8.203022
282,24.193552
283,16.930466
284,8.064185
285,16.279222
286,12.830966
287,1.106092
288,6.9902477
289,38.246765
290,5.846924
291,29.326883
292,10.972292
293,15.47472
294,15.391691
295,13.715513
296,3.9706302
297,5.445673
298,16.013868
299,12.367596
300,1.0
301,6.5579696
302,4.1361523
303,4.0067954
304,5.747751
305,22.181011
306,6.05276
307,8.162556
308,7.588497
309,21.683006
310,6.599473
311,20.309555
312,9.041257
313,7.7093325
314,22.29665
315,26.721085
316,27.221992
317,1.7897265
318,19.994726
319,26.396347
320,5.721287
321,7.0375123
322,20.315037
323,20.972124
324,22.802292
325,6.406231
326,3.855526
327,19.736073
328,3.0602598
329,20.850567
330,10.268461
331,19.722975
332,13.665355
333,18.68493
334,3.5070524
335,9.012252
336,26.462833
337,6.7065983
338,25.54308
339,4.3121576
340,33.36494
341,19.319818
342,6.215674
343,34.438713
344,26.73753
345,24.590328
346,7.67425
347,4.9936895
348,6.680991
349,10.230384
350,5.6292686
351,1.0
352,15.409038
353,4.9515557
354,2.9520648
355,1.6745925
356,15.322334
357,13.116991
358,7.914097
359,21.234123
360,18.717512
361,10.689406
362,1.5525259
363,8.917657
364,9.383961
365,6.200779
366,14.745834
367,17.706425
368,6.6736264
369,20.908703
370,20.119528
371,26.725033
372,18.361467
373,23.23688
374,5.1293526
375,23.416904
376,8.977266
377,17.62856
378,25.73183
379,20.968922
380,7.412375
381,8.963599
382,9.428665
383,4.0305657
384,37.689323
385,8.266518
386,17.755688
387,11.92482
388,32.546783
389,4.98925
390,1.0
391,11.579703
392,9.913237
393,11.55953
394,11.002209
395,7.286903
396,12.567932
397,5.6305485
398,28.457245
399,24.450544
400,17.684317
401,10.057602
402,8.938013
403,20.184875
404,6.145867
405,5.81921
406,7.9807935
407,6.022432
408,8.993284
409,21.695698
410,31.490004
411,24.226871
412,30.783466
413,8.603098
414,26.503883
415,4.685585
416,16.684818
417,34.39695
418,3.0469933
419,6.1512837
420,24.205143
421,2.9077086
422,3.6641178
423,14.200635
424,26.433205
425,1.0
426,20.60581
427,19.049648
428,4.3218794
429,8.93927
430,9.621238
431,1.0
432,8.98262
433,9.776434
434,29.264706
435,10.232802
436,7.024164
437,3.6983075
438,22.03533
439,10.527326
440,5.962972
441,6.7996283
442,7.880976
443,21.386497
444,15.180592
445,12.716613
446,9.700164
447,4.983364
448,5.6362004
449,15.374976
450,10.167626
451,1.4700851
452,19.366577
453,9.191195
454,16.636162
455,21.007288
456,10.543373
457,7.683461
458,29.982473
459,15.245622
460,9.859555
461,25.325056
462,17.741198
463,1.0
464,3.151371
465,11.163619
466,9.011454
467,13.039912
468,14.9093075
469,6.5982127
470,1.0
471,17.885695
472,4.5687404
473,8.190996
474,8.132199
475,20.380259
476,22.751686
477,28.061466
478,17.596458
479,5.495966
480,21.372261
481,10.646706
482,8.057581
483,22.829872
484,13.640941
485,3.058403
486,11.203154
487,9.510856
488,5.995903
489,12.491541
490,5.8340864
491,5.3265047
492,22.423943
493,28.261776
494,26.409904
495,40.664062
496,8.674758
497,26.836037
498,23.048344
499,11.889202
500,12.447092
501,19.894375
502,1.2897233
503,11.600033
504,15.646411
505,5.1623664
506,18.621693
507,10.455654
508,3.4877176
509,4.7432613
510,6.6449833
511,7.8053927
512,19.191322
513,25.002981
514,7.413636
515,21.080751
516,8.169884
517,9.387948
518,24.047344
519,5.8229504
520,7.826831
521,27.725418
522,27.438263
523,26.224457
524,26.5187
525,6.930408
526,9.015242
527,14.549033
528,27.00204
529,9.622957
530,11.971118
531,4.1548824
532,6.011753
533,14.656276
534,2.690178
535,6.0557656
536,13.535467
537,7.357461
538,5.297016
539,11.725763
540,6.7276382
541,22.326513
542,4.012628
543,21.176054
544,8.496834
545,1.0
546,8.279296
547,14.486457
548,16.33806
549,9.342761
550,4.097849
551,23.93739
552,3.4863586
553,36.9917
554,15.646168
555,4.7417026
556,11.962434
557,7.111435
558,17.650665
559,17.89505
560,11.765537
561,4.062075
562,23.179255
563,3.5872135
564,13.865909
565,15.352063
566,3.930812
567,16.842812
568,2.6467853
569,23.70539
570,17.335655
571,32.17197
572,12.424787
573,13.144585
574,3.121461
575,18.885834
576,2.554962
577,13.845285
578,10.31481
579,14.866388
580,19.015284
581,19.34394
582,14.2317505
583,26.773287
584,16.205996
585,8.99989
586,9.337682
587,6.5065575
588,13.145664
589,9.336951
590,11.238612
591,12.440287
592,13.345619
593,8.741083
594,12.151516
595,25.193693
596,4.119153
597,19.72417
598,4.257123
599,14.897496
600,13.066161
601,17.161888
602,8.975765
603,8.396717
604,24.177357
605,11.500473
606,5.9031806
607,12.652812
608,9.115358
609,12.752771
610,14.311045
611,21.29495
612,19.359446
613,4.376257
614,3.6188135
615,11.854923
616,8.901306
617,9.964443
618,5.7436748
619,11.909986
620,18.223743
621,13.958906
622,8.150982
623,16.037804
624,9.165791
625,12.28215
626,14.912996
627,14.00097
628,1.0
629,24.700953
630,26.610136
631,10.330369
632,13.904052
633,12.78322
634,15.177364
635,12.952667
636,19.705923
637,26.590431
638,13.054923
639,20.87552
640,11.618992
641,8.18928
642,8.094964
643,12.062416
644,19.151266
645,15.639581
646,33.929863
647,15.452335
648,9.410585
649,5.249916
650,2.3557568
651,18.356518
652,10.213755
653,4.7746115
654,15.167536
655,11.964365
656,10.456
657,17.466568
658,18.230934
659,18.892963
660,9.38145
661,20.42423
662,11.220255
663,26.312498
664,22.151756
665,6.378592
666,2.9465008
667,5.730689
668,11.996459
669,13.534409
670,11.635809
671,3.7179294
672,9.367739
673,19.15227
674,10.525066
675,10.294331
676,40.868893
